Category,Film,Nominee,Year,Birthyear,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75],Age_[75+],Female,Rating_IMDB,Release_date,MPAA_rating,Rating_rtcritic,Rating_rtaudience,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_family,Genre_sport,Genre_western,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Nom_Criticschoice,Nonom_Criticschoice,Win_Criticschoice,Nowin_Criticschoice,Nom_SAG_acting,Nonom_SAG_acting,Win_SAG_acting,Nowin_SAG_acting,Nom_SAG_bestcast,Nonom_SAG_bestcast,Win_SAG_bestcast,Nowin_SAG_bestcast,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Nom_BAFTA,Win_BAFTA,Winner
Actor,The Brutalist,Adrien Brody,2025,1973,1,1,1,1,52,0,0,0,1,0,0,0,0,8,2025-01-24,R,93,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,,,1,1,1
Actor,A Complete Unknown,Timothée Chalamet,2025,1995,1,0,1,0,30,0,1,0,0,0,0,0,0,7.7,2024-12-25,R,80,96,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,,,1,0,0
Actor,Conclave,Ralph Fiennes,2025,1962,2,0,1,0,63,0,0,0,0,1,0,0,0,7.4,2024-10-25,PG,93,86,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,,,1,0,0
Actor,Sing Sing,Colman Domingo,2025,1969,0,0,0,0,56,0,0,0,0,1,0,0,0,7.7,2024-08-02,R,97,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,,,1,0,0
Actor,The Apprentice,Sebastian Stan,2025,1982,0,0,0,0,43,0,0,1,0,0,0,0,0,7.1,2024-10-11,R,82,84,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,,,1,0,0
Actress,Anora,Mikey Madison,2025,1999,0,0,0,0,26,0,1,0,0,0,0,0,1,7.8,2024-11-08,R,93,90,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,,,1,1,1
Actress,Emilia Pérez,Karla Sofía Gascón,2025,1972,0,0,0,0,53,0,0,0,1,0,0,0,1,5.9,2024-11-13,R,74,19,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,,,1,0,0
Actress,I'm Still Here,Fernanda Torres,2025,1965,0,0,0,0,60,0,0,0,0,1,0,0,1,8.8,2025-02-07,PG-13,99,95,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,,,0,0,0
Actress,The Substance,Demi Moore,2025,1962,0,0,0,0,63,0,0,0,0,1,0,0,1,7.3,2024-09-20,R,89,75,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,,,1,0,0
Actress,Wicked,Cynthia Erivo,2025,1987,1,0,1,0,38,0,0,1,0,0,0,0,1,7.7,2024-11-22,PG,88,95,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,,,1,0,0
Supporting Actor,Anora,Yura Borisov,2025,1992,0,0,0,0,33,0,1,0,0,0,0,0,0,7.8,2024-11-08,R,93,90,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,1,0,1,0,0
Supporting Actor,The Brutalist,Guy Pearce,2025,1967,0,0,0,0,58,0,0,0,0,1,0,0,0,8,2025-01-24,R,93,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,1,0,0,1,0,1,0,1,0,1,0,1,,,,,1,0,0,0,0
Supporting Actor,A Complete Unknown,Edward Norton,2025,1969,3,0,1,0,56,0,0,0,0,1,0,0,0,7.7,2024-12-25,R,80,96,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,1,0,1,0,0
Supporting Actor,The Apprentice,Jeremy Strong,2025,1978,0,0,0,0,47,0,0,0,1,0,0,0,0,7.1,2024-10-11,R,82,84,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,1,0,0,1,0,1,0,1,,,,,1,0,1,0,0
Supporting Actor,A Real Pain,Kieran Culkin,2025,1982,0,0,0,0,43,0,0,1,0,0,0,0,0,7.1,2024-11-01,R,96,81,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,1,0,1,0,1,0,0,1,0,1,,,,,1,1,1,1,1
Supporting Actress,The Brutalist,Felicity Jones,2025,1983,1,0,1,0,42,0,0,1,0,0,0,0,1,8,2025-01-24,R,93,81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,1,0,1,0,1,0,1,0,1,0,1,,,,,1,0,1,0,0
Supporting Actress,A Complete Unknown,Monica Barbaro,2025,1989,0,0,0,0,36,0,0,1,0,0,0,0,1,7.7,2024-12-25,R,80,96,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,1,0,1,0,1,1,0,0,1,1,0,0,1,,,,,0,0,0,0,0
Supporting Actress,Conclave,Isabella Rossellini,2025,1952,0,0,0,0,73,0,0,0,0,0,1,0,1,7.4,2024-10-25,PG,93,86,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8,1,1,0,0,1,0,1,0,1,1,0,1,0,,,,,1,0,1,0,0
Supporting Actress,Emilia Pérez,Zoe Saldaña,2025,1978,0,0,0,0,47,0,0,0,1,0,0,0,1,5.9,2024-11-13,R,74,19,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,1,1,0,1,0,1,0,1,0,1,0,0,1,,,,,1,1,1,1,1
Supporting Actress,Wicked,Ariana Grande,2025,1993,0,0,0,0,32,0,1,0,0,0,0,0,1,7.7,2024-11-22,PG,88,95,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,1,1,0,0,1,1,0,0,1,1,0,0,1,,,,,1,0,1,0,0
